timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743687549580,677,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-40,,true,,4987,598,38,61,null,0,0,517
1743687549580,677,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-40,text,true,,4987,598,38,61,https://petstore.octoperf.com/actions/Catalog.action,677,0,517
1743687550111,173,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-55,,true,,4081,987,38,61,null,0,0,0
1743687550111,173,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-55,text,true,,4081,987,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,173,0,0
1743687549580,711,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-36,,true,,4990,598,38,61,null,0,0,520
1743687549580,711,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-36,text,true,,4990,598,38,61,https://petstore.octoperf.com/actions/Catalog.action,710,0,520
1743687550111,214,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-38,,true,,3442,988,38,61,null,0,0,0
1743687550111,214,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-38,text,true,,3442,988,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,214,0,0
1743687550175,172,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-43,,true,,3441,987,38,61,null,0,0,0
1743687550175,172,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-43,text,true,,3441,987,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,172,0,0
1743687550184,175,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-49,,true,,3441,987,38,61,null,0,1,0
1743687550184,175,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-49,text,true,,3441,987,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,175,0,0
1743687549638,721,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-39,,true,,4986,598,38,61,null,0,1,548
1743687549639,721,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-39,text,true,,4986,598,38,61,https://petstore.octoperf.com/actions/Catalog.action,721,0,548
1743687550187,178,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-35,,true,,3445,991,38,61,null,0,0,0
1743687550187,178,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-35,text,true,,3445,991,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,178,0,0
1743687545097,185,SelectPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Results - jp@gc - Ultimate Thread Group 2-18,,true,,3928,694,19,62,null,0,5086,0
1743687550183,185,SelectPet-26,200,,Scenario 2 - View Results - jp@gc - Ultimate Thread Group 2-18,text,true,,3928,694,19,62,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=78BFEAA988C4B5A447D221B967B995CF?viewCategory=&categoryId=FISH,185,0,0
1743687549712,658,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-51,,true,,4986,598,38,62,null,0,0,498
1743687549712,658,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-51,text,true,,4986,598,38,62,https://petstore.octoperf.com/actions/Catalog.action,656,0,498
1743687550226,176,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-25,,true,,3442,988,38,62,null,0,0,0
1743687548701,1701,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-54,,true,,4986,598,38,62,null,0,0,1525
1743687549698,704,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-34,,true,,4986,598,38,62,null,0,0,528
1743687548701,1701,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-54,text,true,,4986,598,38,62,https://petstore.octoperf.com/actions/Catalog.action,1701,0,1525
1743687550226,176,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-25,text,true,,3442,988,38,62,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,176,0,0
1743687549698,704,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-34,text,true,,4986,598,38,62,https://petstore.octoperf.com/actions/Catalog.action,704,0,528
1743687549769,648,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-30,,true,,4986,598,38,62,null,0,0,487
1743687549769,648,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-30,text,true,,4986,598,38,62,https://petstore.octoperf.com/actions/Catalog.action,648,0,487
1743687550257,189,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-40,,true,,3441,987,38,62,null,0,1,0
1743687550247,199,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,4081,987,38,62,null,0,1,0
1743687550247,199,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,4081,987,38,62,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,199,0,0
1743687550257,189,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-40,text,true,,3441,987,38,62,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,189,0,0
1743687549741,721,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-28,,true,,4987,598,38,62,null,0,1,543
1743687549741,721,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-47,,true,,4990,598,38,62,null,0,1,542
1743687549742,721,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-28,text,true,,4987,598,38,62,https://petstore.octoperf.com/actions/Catalog.action,720,0,543
1743687549742,721,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-47,text,true,,4990,598,38,62,https://petstore.octoperf.com/actions/Catalog.action,721,0,542
